Feature,Score
Country,20.419155786393908
ReferrerP1,11.114888163821664
hour_of_reg_cos,8.014634899363056
hour_of_reg_sin,7.998141018034576
reg_day_of_week_sin,5.540648270681147
UtmCreative,5.107294785242341
ReferrerHost,4.768521876914642
AcceptTerms,4.1602473840946015
SubAffiliateId,4.000197734596561
reg_day_of_week_cos,3.802609703274529
ReferrerP2,3.3270923851122736
Tag2Defined,3.011750523683446
ReferrerP4,2.918880205393804
Tag1Defined,2.6612835622182627
ReferrerP3,2.6504083105313714
Demmodays,2.6171193663527723
ImportId,2.0941230167983744
AffTransactionId,2.0566355417242796
Campaignid,1.597056160100637
HasNotCompletedTasks,1.0529222001241938
IsEnabled,0.6665599665480572
HasTasks,0.3188730496203556
SubscribedNewsletter,0.10095608937537114
